5.1 Cyrillic Kerning, 
Uc   

ЧЦ  НОНЧЦНОН
ЧЧ  НОНЧЧНОН
ЧЪ  НОНЧЪНОН
ЧЭ  НОНЧЭНОН
ЧЯ  НОНЧЯНОН
ЪА  НОНЪАНОН
ЪБ  НОНЪБНОН
ЪВ  НОНЪВНОН
ЪД  НОНЪДНОН
ЪЖ  НОНЪЖНОН
ЪЗ  НОНЪЗНОН
ЪК  НОНЪКНОН
ЪЛ  НОНЪЛНОН
ЪН  НОНЪНОН
ЪО  НОНЪОНО
ЪТ  НОНЪТНОН
ЪУ  НОНЪУНОН
ЪФ  НОНЪФНОН
ЪЦ  НОНЪЦНОН
ЪЧ  НОНЪЧНОН
ЪЪ  НОНЪЪНОН
ЪЭ  НОНЪЭНОН
ЪЯ  НОНЪЯНОН
ЭА  НОНЭАНОН
ЭБ  НОНЭБНОН
ЭВ  НОНЭВНОН
ЭД  НОНЭДНОН
ЭЖ  НОНЭЖНОН
ЭЗ  НОНЭЗНОН
ЭК  НОНЭКНОН
ЭЛ  НОНЭЛНОН
ЭН  НОНЭНОН
ЭО  НОНЭОНО
ЭТ  НОНЭТНОН
ЭУ  НОНЭУНОН
ЭФ  НОНЭФНОН
ЭЦ  НОНЭЦНОН
ЭЧ  НОНЭЧНОН
ЭЪ  НОНЭЪНОН
ЭЭ  НОНЭЭНОН
ЭЯ  НОНЭЯНОН
ЯА  НОНЯАНОН
ЯБ  НОНЯБНОН
ЯВ  НОНЯВНОН
ЯД  НОНЯДНОН
ЯЖ  НОНЯЖНОН
ЯЗ  НОНЯЗНОН
ЯК  НОНЯКНОН
ЯЛ  НОНЯЛНОН
ЯН  НОНЯНОН
ЯО  НОНЯОНО
ЯТ  НОНЯТНОН
ЯУ  НОНЯУНОН
ЯФ  НОНЯФНОН
ЯЦ  НОНЯЦНОН
ЯЧ  НОНЯЧНОН
ЯЪ  НОНЯЪНОН
ЯЭ  НОНЯЭНОН
ЯЯ  НОНЯЯНОН
ѴА  НОНѴАНОН
ѴБ  НОНѴБНОН
ѴВ  НОНѴВНОН
ѴД  НОНѴДНОН
ѴЖ  НОНѴЖНОН
ѴЗ  НОНѴЗНОН
ѴК  НОНѴКНОН
ѴЛ  НОНѴЛНОН
ѴН  НОНѴНОН
ѴО  НОНѴОНО
ѴТ  НОНѴТНОН
ѴУ  НОНѴУНОН
ѴФ  НОНѴФНОН
ѴЦ  НОНѴЦНОН
ѴЧ  НОНѴЧНОН
ѴЪ  НОНѴЪНОН
ѴЭ  НОНѴЭНОН
ѴѴ  НОНѴѴНОН
РА  НОНРАНОН
РБ  НОНРБНОН
РВ  НОНРВНОН
РД  НОНРДНОН
РЖ  НОНРЖНОН
РЗ  НОНРЗНОН
РК  НОНРКНОН
РЛ  НОНРЛНОН
РН  НОНРНОН
РО  НОНРОНО
РТ  НОНРТНОН
РУ  НОНРУНОН
РФ  НОНРФНОН
РЦ  НОНРЦНОН
РЧ  НОНРЧНОН
РЪ  НОНРЪНОН
РЭ  НОНРЭНОН
РР  НОНРРНОН

5.2 Cyrillic Kerning, 
lc   

аа  нонаанон
аб  нонабнон
ав  нонавнон
ад  нонаднон
аж  нонажнон
аз  ноназнон
ак  нонакнон
ал  ноналнон
ан  нонанон
ао  нонаоно
ат  нонатнон
ау  нонаунон
аф  нонафнон
ац  нонацнон
ач  ноначнон
аъ  нонаънон
аэ  нонаэнон
ая  нонаянон
ба  нонбанон
бб  нонббнон
бв  нонбвнон
бд  нонбднон
бж  нонбжнон
бз  нонбзнон
бк  нонбкнон
бл  нонблнон
бн  нонбнон
бо  нонбоно
бт  нонбтнон
бу  нонбунон
бф  нонбфнон
бц  нонбцнон
бч  нонбчнон
бъ  нонбънон
бэ  нонбэнон
бя  нонбянон
ва  нонванон
